id,name,klub_short
001,Andrzej Adamczyk,PiS
002,Rafał Adamczyk,Lewica
003,Piotr Adamowicz,KO
004,Romuald Ajchler,Lewica
469,Zbigniew Ajchler,niez.
005,Adam Andruszkiewicz,PiS
006,Waldemar Andzel,PiS
007,Tomasz Aniśko,KO
008,Jan Krzysztof Ardanowski,PiS
009,Iwona Arent,PiS
010,Marek Ast,PiS
011,Urszula Augustyn,KO
012,Tadeusz Aziewicz,KO
013,Zbigniew Babalski,PiS
014,Piotr Babinetz,PiS
015,Ryszard Bartosik,PiS
016,Władysław Teofil Bartoszewski,KP
017,Barbara Bartuś,PiS
018,Mieczysław Baszko,PiS
019,Dariusz Bąk,PiS
020,Paweł Bejda,KP
021,Konrad Berkowicz,Konfederacja
022,Magdalena Biejat,Lewica
023,Jerzy Bielecki,PiS
024,Marek Biernacki,KP
025,Mariusz Błaszczak,PiS
026,Mateusz Bochenek,KO
027,Rafał Bochenek,PiS
028,Jerzy Borowczak,KO
029,Joanna Borowiak,PiS
030,Kamil Bortniczuk,PiS
031,Piotr Borys,KO
032,Bożena Borys-Szopa,PiS
033,Krzysztof Bosak,Konfederacja
034,Grzegorz Braun,Konfederacja
035,Waldemar Buda,PiS
036,Borys Budka,KO
037,Stanisław Bukowiec,Porozumienie
038,Lidia Burzyńska,PiS
039,Wiesław Buż,Lewica
040,Małgorzata Chmiel,KO
041,Zbigniew Chmielowiec,PiS
042,Kazimierz Choma,PiS
043,Dominika Chorosińska,PiS
044,Tadeusz Chrzan,PiS
045,Anna Ewa Cicholska,PiS
046,Janusz Cichoń,KO
047,Michał Cieślak,PiS
048,Tadeusz Cymański,PiS
049,Adam Cyrański,KO
050,Krzysztof Czarnecki,PiS
051,Przemysław Czarnecki,PiS
052,Witold Czarnecki,PiS
053,Przemysław Czarnek,PiS
054,Arkadiusz Czartoryski,PiS
055,Włodzimierz Czarzasty,Lewica
056,Jacek Czerniak,Lewica
057,Zofia Czernow,KO
058,Anita Czerwińska,PiS
059,Katarzyna Czochara,PiS
060,Eugeniusz Czykwin,KO
061,Władysław Dajczak,PiS
062,Anna Dąbrowska-Banaszek,PiS
063,Leszek Dobrzyński,PiS
064,Zbigniew Dolata,PiS
065,Barbara Dolniak,KO
066,Bartłomiej Dorywalski,PiS
067,Przemysław Drabek,PiS
068,Elżbieta Duda,PiS
069,Jan Duda,PiS
070,Marcin Duszek,PiS
071,Michał Dworczyk,PiS
072,Marek Dyduch,Lewica
073,Artur Dziambor,Konfederacja
074,Jan Dziedziczak,PiS
075,Agnieszka Dziemianowicz-Bąk,Lewica
076,Waldy Dzikowski,KO
077,Barbara Dziuk,PiS
078,Jadwiga Emilewicz,PiS
079,Joanna Fabisiak,KO
080,Monika Falej,Lewica
081,Jolanta Fedak,KP
082,Magdalena Filiks,KO
083,Ewa Filipiak,PiS
084,Radosław Fogiel,PiS
085,Joanna Frydrych,KO
